Hybrid,Code,Label,afwm4,alwm2,alwm3,,,,agwm4,,aowm2,arwm4,azwm2,,,bdwm3,bdwm5,bbwm4,blwm3,blwm4,bzwm3,bzwm4,,,btwm4,,bowm2,bhwm2,bhwm3,bhwm4,bswm2,,bfwm3,,buwm2,buwm3,cmwm2,cmwm3,cmwm5,,cfwm2,cfwm3,cfwm4,,tdwm2,tdwm4,,kmwm2,,crwm4,,,ciwm2,ciwm3,,,,cuwm3,cuwm4,cuwm5,,,,cdwm2,cdwm4,djwm3,drwm2,drwm5,,eswm5,,eqwm2,,,,gmwm2,gmwm3,,,gewm3,,ghwm3,ghwm4,,,,gbwm2,gbwm3,,gbwm5,gywm2,gywm3,gywm5,,,,idwm2,,,,,irwm2,irwm3,irwm4,,jawm3,jawm4,kkwm3,kkwm4,kkwm5,kewm2,,kywm3,kywm5,,lawm2,lawm3,lawm4,,,lswm2,,,,mdwm2,,mwwm3,mwwm5,,,,,,,mrwm3,mrwm4,,mxwm5,,mowm2,mowm3,mowm4,mowm5,mtwm3,mtwm5,,mzwm3,,mywm2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,egwm4,kowm5,,,,,,,,,,,npwm5,,niwm2,,,ngwm3,ngwm4,,,,,,pnwm5,,,phwm2,,mbwm2,mbwm4,rwwm2,sawm4,,stwm2,,stwm5,,snwm2,sbwm3,sbwm4,sbwm5,,slwm2,slwm3,slwm4,,,smwm3,,sdwm2s,sswm4,,pswm4,pswm5,,sdwm2n,sdwm4,sdwm5,suwm2,suwm3,suwm4,,,szwm2,szwm4,szwm5,,,sywm3,tjwm2,tjwm3,,mcwm3,mcwm4,thwm3,thwm4,,,tgwm2,tgwm3,tgwm4,ttwm2,ttwm3,,,,tnwm4,,,tmwm3,tmwm5,,uawm3,uawm4,,,urwm4,uzwm2,uzwm3,vawm3,vzwm2,,vnwm2,vnwm3,vnwm4,vnwm5,,yewm3,,zmwm2,zwwm3,zwwm5,,,,,,,
,31,Widowed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3 = widow {281},,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3 = Widowed {116},,,,,,,,,,,
,32,Divorced,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2 = Divorced {107},,,,,,,,,,,
,33,Separated/not living together,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5 = Separate {24},,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,40,Not married or in union,"3 = No, not in union {6760}",,"3 = No, not in union {1756}",,,,3 = Non {19640},,,,,,,3 = No {3920},3 = No {9402},"3 = No, not in union {544}","3 = No, not in union {1722}","3 = No, not in union {1443}",,"3 = No, not in union {1702}",,,"3 = No, not in union {3967}",,,,"3 = No, not in union {1097}","3 = No, not in union {1209}",,,"3 = Non , pas en union {1697}",,,"3 = Non , pas en union {4102}",,"3 = Non , pas en union {3587}","3 = Non, pas en union {4223}",,,"3 = Non , pas en union {2372}","3 = Non, pas en union {2587}",,,"3 = Non, pas en union {3482}",,,,3 = No {2142},,,,"3 = Non, ni marié ni en union {4958}",,,,,"3 = No, no en unión {2731}","3 = No, no en uniÃ³n {3144}",,,,,"3 = Non, pas en union {4467}",3 = Non {3290},,"3 = No, no en uniÃ³n {12309}",,"3 = No, no en union {5678}",,,,,,,"3 = No, not in union {3072}",,,"3 = No, not in union {3664}",,"3 = No, not in union {2262}","3 = No, not in union {3701}",,,,,"3 = Non , pas en union {2854}",,3 = NÃ£o vive em uniÃ£o {4332},,"3 = No, not in union {1993}","3 = No, not in union {1318}",,,,,,,,,,"2 = No,not married {11389}","3 = No, not in union {20972}",,"3 = No, not in union {2220}","3 = No, not in union {3293}","3 = No, not in union {6190}","3 = No, not in union {5588}","3 = No, not in union {4373}",,,"3 = No, not in union {2817}","3 = No, not in union {1965}",,,,"3 = No, not in union {5926}",,,,,,,,,"3 = No, not in union {7497}","3 = No, not in union {8232}",,,,,,,2 = Non {5125},"2 = Non, pas mariee {5067}",,"3 = No, no en uniÃ³n {4219}",,,"3 = No, not in union {2924}","3 = No, not in union {2890}","3 = No, not in union {4055}","3 = No, not in union {766}","3 = No, not in union {1326}",,"3 = Não, não está em união {4729}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3 = Not currently married {303},"3 = No, not in union {2031}",,,,,,,,,,,"3 = No, not in union {3474}",,,,,"3 = No, not in union {6911}","3 = No, not in union {8631}",,,,,,3 = No {3316},,,,,,"3 = No, not in union {1991}",,"3 = No, not in union {528}",,,,3 = NÃƒÂ£o vive em uniÃƒÂ£o {1264},,,,"3 = No, not in union {1330}","3 = No, not in union {1277}",,,"3 = No, not in union {1605}","3 = No, not in union {4447}",,,"3 = No, not in union {2364}",,,"3 = No, not in union {1729}",,,"3 = No, currently married {5467}",,,"3 = No, not in union {5992}",2 = Not currently married {6279},,"3 = No, not in union {2374}","3 = No, not in union {2820}",,,,"3 = No, not in union {2837}","3 = No, not in union {2843}",,,"4 = No, not in union {131}",,"3 = No, not in union {4236}",,"3 = No, not in union {2233}","3 = No, not in union {1156}","3 = No, not in union {12577}","3 = No, not in union {6140}",,,,"3 = Non , pas en union {1920}","3 = Non, pas en union {2066}",,"3 = No, not in union {2368}",,,,"3 = Non, pas en union {5438}",,,"3 = No, not in union {3227}","3 = No, not in union {2757}",,"3 = No, not in union {1995}","3 = No, not in union {2459}",,,"3 = No, no en uniÃ³n {987}",,"3 = No, not in union {5064}","3 = No, not in union {771}",,,,"2 = No, not in union {3263}","3 = No, not in union {3469}","3 = No, not in union {2855}",,,,,"3 = no, not in union {4702}","3 = No, not in union {5280}",,,,,,,
,98,Missing,9 = Missing {9},,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9 = Manquant {1},9 = Manquant {7},,,,,,,,,,,,,,,9 = Manquant {5},,,,,,,,,,,,,,,,,,,,,,,9 = missing {6},,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9 = No responde {4},,,,,,,,,9 = Sem info {3},,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9 = Missing {1},,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9 = missing {2},,,,,,,,
,NA,NA,NA = NA {763},,NA = NA {37},,,,NA = NA {2637},,,,,,,NA = NA {19510},NA = NA {7808},NA = NA {373},NA = NA {11},NA = NA {166},,NA = NA {389},,,NA = NA {2805},,,,NA = NA {87},NA = NA {199},,,NA = NA {843},,,NA = NA {311},,NA = NA {399},NA = NA {586},,,NA = NA {844},NA = NA {997},,,NA = NA {2156},,,,NA = NA {656},,,,,,,,,NA = NA {367},NA = NA {237},,,,,NA = NA {382},NA = NA {1351},,NA = NA {1032},,NA = NA {1515},,,,,,,NA = NA {270},,,NA = NA {1061},,NA = NA {351},NA = NA {336},,,,,NA = NA {1895},,NA = NA {510},,NA = NA {218},NA = NA {733},,,,,,,,,,NA = NA {378},NA = NA {1251},,NA = NA {130},NA = NA {111},NA = NA {159},NA = NA {214},NA = NA {240},,,,NA = NA {141},,,,NA = NA {1461},,,,,,,,,NA = NA {814},NA = NA {1200},,,,,,,NA = NA {867},NA = NA {902},,NA = NA {827},,,NA = NA {598},NA = NA {837},NA = NA {627},NA = NA {127},NA = NA {113},,NA = NA {861},,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA = NA {12},NA = NA {664},,,,,,,,,,,NA = NA {774},,,,,NA = NA {2528},NA = NA {2927},,,,,,NA = NA {414},,,,,,NA = NA {718},,NA = NA {88},,,,NA = NA {166},,,1 = NA {4648},NA = NA {412},NA = NA {284},,,NA = NA {1603},NA = NA {707},,,NA = NA {513},,,NA = NA {2499},,,NA = NA {597},,,NA = NA {1440},NA = NA {2025},,NA = NA {676},NA = NA {947},,,,NA = NA {268},NA = NA {239},,,NA = NA {537},,NA = NA {383},,NA = NA {133},NA = NA {193},NA = NA {227},NA = NA {275},,,,,NA = NA {640},,NA = NA {221},,,,NA = NA {299},,,NA = NA {17},NA = NA {75},,NA = NA {10},NA = NA {233},,,NA = NA {350},,NA = NA {286},NA = NA {569},,,,,NA = NA {452},NA = NA {363},,NA = NA {170},,,NA = NA {1149},NA = NA {967},,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
